track_id	assay	group	mode	url	filename
H2AFZ__imputed__Brain	H2AFZ	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Brain.bigWig	average_H2AFZ_imputed_Brain.bigWig
H2AFZ__imputed__Cancer	H2AFZ	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Cancer.bigWig	average_H2AFZ_imputed_Cancer.bigWig
H2AFZ__imputed__Digestive	H2AFZ	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Digestive.bigWig	average_H2AFZ_imputed_Digestive.bigWig
H2AFZ__imputed__ESC	H2AFZ	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_ESC.bigWig	average_H2AFZ_imputed_ESC.bigWig
H2AFZ__imputed__Endocrine	H2AFZ	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Endocrine.bigWig	average_H2AFZ_imputed_Endocrine.bigWig
H2AFZ__imputed__Endothelial	H2AFZ	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Endothelial.bigWig	average_H2AFZ_imputed_Endothelial.bigWig
H2AFZ__imputed__Epithelial	H2AFZ	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Epithelial.bigWig	average_H2AFZ_imputed_Epithelial.bigWig
H2AFZ__imputed__HSCandB-cell	H2AFZ	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_HSCandB-cell.bigWig	average_H2AFZ_imputed_HSCandB-cell.bigWig
H2AFZ__imputed__Heart	H2AFZ	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Heart.bigWig	average_H2AFZ_imputed_Heart.bigWig
H2AFZ__imputed__Kidney	H2AFZ	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Kidney.bigWig	average_H2AFZ_imputed_Kidney.bigWig
H2AFZ__imputed__Liver	H2AFZ	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Liver.bigWig	average_H2AFZ_imputed_Liver.bigWig
H2AFZ__imputed__Lung	H2AFZ	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Lung.bigWig	average_H2AFZ_imputed_Lung.bigWig
H2AFZ__imputed__Lymphoblastoid	H2AFZ	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Lymphoblastoid.bigWig	average_H2AFZ_imputed_Lymphoblastoid.bigWig
H2AFZ__imputed__Mesench	H2AFZ	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_Mesench.bigWig	average_H2AFZ_imputed_Mesench.bigWig
H2AFZ__imputed__iPSC	H2AFZ	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H2AFZ_imputed_iPSC.bigWig	average_H2AFZ_imputed_iPSC.bigWig
H3K4me1__imputed__BloodandT-cell	H3K4me1	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_BloodandT-cell.bigWig	average_H3K4me1_imputed_BloodandT-cell.bigWig
H3K4me1__imputed__Brain	H3K4me1	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Brain.bigWig	average_H3K4me1_imputed_Brain.bigWig
H3K4me1__imputed__Cancer	H3K4me1	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Cancer.bigWig	average_H3K4me1_imputed_Cancer.bigWig
H3K4me1__imputed__Digestive	H3K4me1	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Digestive.bigWig	average_H3K4me1_imputed_Digestive.bigWig
H3K4me1__imputed__ESC	H3K4me1	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_ESC.bigWig	average_H3K4me1_imputed_ESC.bigWig
H3K4me1__imputed__Endocrine	H3K4me1	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Endocrine.bigWig	average_H3K4me1_imputed_Endocrine.bigWig
H3K4me1__imputed__Endothelial	H3K4me1	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Endothelial.bigWig	average_H3K4me1_imputed_Endothelial.bigWig
H3K4me1__imputed__Epithelial	H3K4me1	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Epithelial.bigWig	average_H3K4me1_imputed_Epithelial.bigWig
H3K4me1__imputed__HSCandB-cell	H3K4me1	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_HSCandB-cell.bigWig	average_H3K4me1_imputed_HSCandB-cell.bigWig
H3K4me1__imputed__Heart	H3K4me1	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_H3K4me1_imputed_Heart.bigWig	average_H3K4me1_imputed_Heart.bigWig
